date,rolling_sharpe_net_63d,rolling_sharpe_gross_63d
2025-07-23,4.876771262744358,5.696523761441794
2025-07-24,5.256499766273815,6.090990585182394
2025-07-25,6.0259586802864185,6.87763120233401
2025-07-28,6.168862311144708,7.016610065751044
2025-07-29,6.170487477277383,7.021831850880111
2025-07-30,6.216408090351187,7.068109221230105
2025-07-31,5.6971226009825235,6.6046598059367465
2025-08-01,4.908372067286147,5.9674554156805515
2025-08-04,3.7249430694098304,4.944490416853417
2025-08-05,2.4867059427707363,3.658778455674374
2025-08-06,1.5223255759381318,2.73322378323818
2025-08-07,1.5244505982264627,2.7275119421475584
2025-08-08,1.5195163251529589,2.7237415886717096
2025-08-11,1.2096733601522607,2.418471319555112
2025-08-12,0.5701095107456006,1.7434504716273773
2025-08-13,0.06535269428993988,1.2789961074770242
2025-08-14,0.0009197051008829309,1.2122646744627597
2025-08-15,-0.2525793306981093,0.9537881154475192
2025-08-18,-0.8763131768214203,0.3414105184118743
2025-08-19,-1.0859909192688688,0.12955721649278906
2025-08-20,-1.7591212210978864,-0.5680229047826746
2025-08-21,-1.9620240495836971,-0.7572343056710716
2025-08-22,-2.0081316276329786,-0.8045481594987256
2025-08-25,-1.8707567463525392,-0.6703949600001038
2025-08-26,-2.0136753858449246,-0.79440918330478
2025-08-27,-1.3403538160452528,-0.1581237653682464
2025-08-28,-1.0662667358020887,0.09078717078964335
2025-08-29,-0.3739827352052955,0.7578345470504579
2025-09-01,-0.2745108396418113,0.8440613402636117
2025-09-02,0.22770724145111335,1.3202496835375388
2025-09-03,0.5574152070258854,1.6380835852864726
2025-09-04,0.2578684977544965,1.3252794068016212
2025-09-05,0.004790629655713515,1.096592286451277
2025-09-08,-0.1788510598187288,0.9185085796114132
2025-09-09,-0.2948861753847572,0.8089113472274907
2025-09-10,0.5260994455201826,1.6474897383239409
2025-09-11,0.6416335143344954,1.7571802119002686
2025-09-12,1.0199068732637877,2.111610063647469
2025-09-15,0.9192754152926556,2.008011367885665
2025-09-16,0.703136940138914,1.8023107354230659
2025-09-17,0.1579923864208845,1.2381919856809829
2025-09-18,-0.1489632346372532,0.9191704886448606
2025-09-19,-0.16562269502592042,0.9056742811853524
2025-09-22,0.5304891532652893,1.6288133205169701
2025-09-23,0.47217949444215596,1.5717221925182439
2025-09-24,-0.1003558816139032,0.9710661717828136
2025-09-25,-0.3285090036351917,0.7261046386439228
2025-09-26,-0.4424039789830145,0.6130856197934603
2025-09-29,-0.24593244956893426,0.8154579639942928
2025-09-30,-0.36295576392617673,0.6967904564906353
2025-10-01,-0.20815335150915995,0.8663640042126747
2025-10-02,0.05772916950894966,1.1271673363597552
2025-10-03,0.0670355333575165,1.1370439096631748
2025-10-06,0.26543235659502795,1.324383060194852
2025-10-07,0.23621522229354264,1.2965623208779788
2025-10-08,0.49424232197701473,1.5325503210360072
2025-10-09,0.8895995147973597,1.9130249797344314
2025-10-10,1.3594426145622491,2.3888835762874443
2025-10-13,1.4110755956102152,2.446561557841956
2025-10-14,1.1473865519454065,2.179101774969864
2025-10-15,1.0310284305530093,2.0602094582999912
2025-10-16,0.9965390920560108,2.0285009979557973
2025-10-17,0.7167466830251022,1.739879177560799
2025-10-20,0.15910226026111948,1.1863140109887402
2025-10-21,0.23860305557285383,1.2622406046273533
2025-10-22,-0.316468177899007,0.7212344398965369
2025-10-23,-0.7930076520125403,0.2691599396645419
2025-10-24,-0.7904928563602465,0.27063117395735764
2025-10-27,-0.49539340310355295,0.5335223078002047
2025-10-28,-0.17557888614461917,0.8439036490475952
2025-10-29,0.26672940297969794,1.2973535093991275
2025-10-30,1.207772786058685,2.247319306497707
2025-10-31,2.001473650259372,3.0873691422638667
